id,name,category,
87,Left side view mirror is working,Quality Check - Electrical,1
88,Front right power window is working,Quality Check - Electrical,1
89,Rear right power window is working,Quality Check - Electrical,1
90,Front left power window is working,Quality Check - Electrical,1
91,Rear left power window is working,Quality Check - Electrical,1
92,Defogger is present,Quality Check - Electrical,1
62,Car has been washed clean,Quality Check - Car interiors,1
63,Car interiors are clean,Quality Check - Car interiors,1
64,Odometer reading with a picture: numeric value,Quality Check - Car interiors,1
65,No audio error code is there,Quality Check - Car interiors,1
60,Key chain/ remote is there with the car keys,Quality Check - Accessories,1
61,Accessories as per job sheet there or not like floor mat, tool box, jack, antenna, stereo, service booklet, others (needed), per,Quality Check - Accessories,1
56,No new scratch/ dent on panels not worked on ,Quality Check - Other car exterior,
57,Fuel cap has been installed,Quality Check - Other car exterior,
58,Alloys of the wheels have been put back,Quality Check - Other car exterior,
59,Door locks are working,Quality Check - Other car exterior,
47,Requested panels have been repaired,Quality Check - Panels Worked On,
48,Pin holes,Quality Check - Panels Worked On,
49,Paint drips,Quality Check - Panels Worked On,
50,Paint mismatch,Quality Check - Panels Worked On,
51,Paint chip off,Quality Check - Panels Worked On,
52,Paint waves,Quality Check - Panels Worked On,
53,Dust particles,Quality Check - Panels Worked On,
54,Polish marks,Quality Check - Panels Worked On,
55,All panels aligned properly,Quality Check - Panels Worked On,
93,1,Interior,
94,2,Interior,
95,3,Interior,
96,4,Interior,
97,5,Interior,
98,6,Interior,
99,7,Interior,
100,8,Interior,
101,9,Interior,
102,10,Interior,
103,11,Interior,
104,12,Interior,
105,13,Interior,
106,14,Interior,
